pitch,angle,speed,spin,run,frame,src_frame,total,spread,meanSignal,fovea_total,mid_total,far_total,delta_total,corr_prev,PC1,PC2,PC3,PC4,PC5
cb,0deg,speed+3,spin+500,run36,11,16,600711.235914699,179.648865405318,157.1719612545,188.414913277064,0,600522.821001422,204.507874313626,0.999969062464816,-3466.67456740783,-1730.59651093283,-1080.94686939087,-740.333061428017,-569.829494000565
cb,0deg,speed+3,spin+500,run36,12,17,600829.357717275,179.60791098775,157.202867011323,188.44868729602,0,600640.909029979,118.121802575886,0.999991115543212,-3466.46171189266,-1722.74148295516,-1070.76253454378,-733.329857296566,-560.304617847276
cb,0deg,speed+3,spin+500,run36,13,18,600952.271593026,179.567281664834,157.235026581116,188.482466838094,0,600763.789126188,122.913875750965,0.999991210542922,-3466.16467390061,-1714.77212221393,-1060.34691459864,-726.133649726791,-550.716567392196
cb,0deg,speed+3,spin+500,run36,14,20,601214.254822709,179.47575416387,157.3035726904,188.556451017133,0,601025.698371692,261.98322968313,0.999960827662259,-3465.26658368805,-1696.78584955674,-1037.50810318572,-710.195974479901,-529.068461991807
cb,0deg,speed+3,spin+500,run36,15,21,601349.091576872,179.422790577544,157.338851799286,188.595394201817,0,601160.49618267,134.836754163145,0.999988541806398,-3464.52240025507,-1686.67588246756,-1024.74483075427,-701.045716964535,-516.998693702464
cb,0deg,speed+3,spin+500,run36,16,23,601663.464626379,179.314393540835,157.421105344422,188.678353185135,0,601474.786273194,314.3730495075,0.99995407508451,-3462.43592671378,-1665.18791347849,-997.965983336483,-681.051987138581,-491.579381673582
cb,0deg,speed+3,spin+500,run36,17,24,601843.067897387,179.256690348926,157.468097304392,188.725527297506,0,601654.342370089,179.603271007305,0.999986123158246,-3461.14967729151,-1653.23375838572,-982.812388858855,-669.919579586524,-476.790868757965
cb,0deg,speed+3,spin+500,run36,18,26,602219.279728539,179.123714419771,157.566530541219,188.828673736117,0,602030.451054803,376.211831152323,0.99993743984385,-3457.45941077776,-1626.51337031943,-949.751268607339,-644.205598232715,-444.264699518674
cb,0deg,speed+3,spin+500,run36,19,27,602417.741522445,179.044380778273,157.618456703936,188.886547976056,0,602228.854974469,198.461793906055,0.999980923885114,-3454.78640504021,-1611.46753441382,-930.884391136171,-629.317988855677,-425.635253611269
cb,0deg,speed+3,spin+500,run36,20,29,602931.613873096,178.891327306223,157.752907868419,189.0246231374,0,602742.589249959,513.872350651305,0.99991384376593,-3448.3690471288,-1578.45588177521,-888.915535161368,-595.746999555381,-384.537886427483
cb,0deg,speed+3,spin+500,run36,21,30,603237.50516251,178.814901472264,157.83294221939,189.103922673375,0,603048.401239837,305.891289413557,0.999973580824205,-3444.29865438262,-1560.07782202201,-865.144700292847,-576.85933340351,-361.007527882957
cb,0deg,speed+3,spin+500,run36,22,32,603896.798738112,178.644305477103,158.005441846706,189.285388539088,0,603707.513349573,659.293575601769,0.999877738238555,-3434.50850560668,-1518.02206786983,-812.675325089341,-533.864134405579,-308.988668686331
cb,0deg,speed+3,spin+500,run36,23,33,604282.500880316,178.562515182865,158.106358158115,189.384453181815,0,604093.116427134,385.702142203925,0.999963446209998,-3428.89462161591,-1494.29934418891,-783.485617762214,-509.418166538748,-279.911034177072
cb,0deg,speed+3,spin+500,run36,24,34,604683.770706656,178.481838381699,158.211347646954,189.482678943042,0,604494.288027713,401.269826340722,0.999961857935088,-3422.73113373323,-1469.47703870102,-753.543425900068,-483.864454519838,-249.922232086082
cb,0deg,speed+3,spin+500,run36,25,36,605520.296624888,178.310783391151,158.430218897145,189.690859581933,0,605330.605765306,836.525918231346,0.999826062310028,-3408.19116633799,-1414.41798234644,-687.443508434059,-427.447662369959,-183.157838846535
cb,0deg,speed+3,spin+500,run36,26,37,605916.404355632,178.215606125325,158.533857759192,189.791842755412,0,605726.612512877,396.107730744639,0.999954314829716,-3399.9048764782,-1385.17304839151,-653.419053709023,-397.52044579378,-148.094249079479
cb,0deg,speed+3,spin+500,run36,27,39,606724.965063859,178.006945710552,158.74541210462,189.994172510216,0,606534.970891349,808.560708226287,0.999800995944878,-3380.45116115803,-1321.55668369821,-579.755533862206,-331.65257685518,-73.6377754615301
